Giá,Khoảng_giá_min,Khoảng_giá_max,Thương_hiệu,Dòng_xe,Số_Km_đã_đi,Loại_xe,Dung_tích_xe,Xuất_xứ,Tuổi_đời_xe,Km_per_Year,Text_Raw,is_hqcn,is_nhap_y,is_abs,is_smartkey,is_vip_plate,is_zin,is_chinh_chu,Giá_Dự_Đoán,Residuals
4500000.0,6.01 tr,7.06 tr,Yamaha,Jupiter,50000,Xe số,100 - 175 cc,Việt Nam,16,2941.176470588235,cần bán xe cũ còn vận hành tốt xe mua đời đầu đầu nên hơi cũ do nhu cầu sử dụng việc đi lại nên không quan trọng đẹp mới ai có nhu cầu mua sử dụng việc đi làm chở hàng sinh viên đi học thì hợp lí vì xe rất cũ do không rửa thường xuyên xe có cavet đầy đủ vẫn sử dụng bình thường cục máy xì nhớt nhẹ ai thiện chí có bớt cho ae ạ,0,0,0,0,0,0,0,5851159.167936294,-1351159.1679362943
58000000.0,55.9 tr,65.62 tr,Honda,SH,30000,Tay ga,100 - 175 cc,Việt Nam,9,3000.0,tôi cần bán xe sh 125 việt nam dư xe không đi tôi cần bán xe sh 125 việt nam xe 1 mình tôi đi ít 30 000km,0,0,0,0,0,0,0,65170538.62787777,-7170538.627877772
15500000.0,15.97 tr,18.75 tr,Honda,Air Blade,100000,Tay ga,100 - 175 cc,Việt Nam,11,8333.333333333334,dư dùng cần bán em ab 2015 giấy tờ đầy đủ dư chiếc ab 2015 màu đen trắng dàn áo đẹp máy móc êm ru đã thay nhớt số máy nước mát toàn bộ chỉ cần leo lên chạy giấy tờ đầy đủ bao tranh chấp bán tại nhà giá bán 15 500 000 anh em quan tâm vui lòng ib để mình gửi sdt có bớt chút đỉnh cho anh em tài xế hoặc sinh viên mua xe,0,0,0,0,0,0,0,15823513.60144688,-323513.60144688
14000000.0,13.65 tr,16.03 tr,Honda,Wave,15000,Xe số,100 - 175 cc,Nhật Bản,5,2500.0,bán xe wave 2021 xe lên đèn zipat lên sạc yên hai tầng cần số inox 304 nhông sên dĩa mới gù kinh gác chân ốc loc máy may zin bao ngon tiền nào của đó anh e ak,0,0,0,0,0,1,0,13811848.528080132,188151.47191986814
10800000.0,6.09 tr,7.15 tr,Yamaha,Mio,14800,Tay ga,100 - 175 cc,Thái Lan,19,740.0,bán xe mio umtimo xe xin chưa rớt đầu xe nhập nguyên con thái lan xe không chính chủ giấy tờ đầy đủ và giấy cửa hàng bao tranh chấp,0,0,0,0,0,1,1,8040223.422592511,2759776.5774074886
7000000.0,13.32 tr,15.63 tr,Honda,Dylan,35,Tay ga,100 - 175 cc,Nước khác,20,1.6666666666666667,k sôi nước rin theo xe tình trạng xe chay bình thường k soi nước di xa ok rin theo xe trầy xuong nhẹ bao di xa,0,0,0,0,0,0,0,10114909.698358621,-3114909.6983586214
28000000.0,19.29 tr,22.64 tr,Suzuki,Satria,22000,Tay côn/Moto,100 - 175 cc,Nước khác,8,2444.4444444444443,nhà chật cần bán xe nhập indonesia odo 22k zin keng xe đã lên mạch tăng sáng bên bác sĩ đèn bao sáng bao đi tour ko sợ bị ca làm khó dễ chính chủ uỷ quyền hay sang tên trong ngày,0,0,0,0,0,1,1,24108783.323465012,3891216.676534988
33500000.0,36.71 tr,43.1 tr,Honda,Air Blade,16000,Tay ga,100 - 175 cc,Việt Nam,3,4000.0,cần bán xe ab 125 2023 bản special limited odo 16k odo 16k giấy tờ cavet gốc sang tên thoải mái tôi đang đứng uỷ quyền lần 2 nếu bạn mua xe tôi đưa cửa hàng bán xe rút hồ sơ sang tên,0,0,0,0,0,0,0,39810420.82954555,-6310420.82954555
55000000.0,55.9 tr,65.62 tr,Honda,SH,122345,Tay ga,100 - 175 cc,Việt Nam,9,12234.5,xe sh125 đời 2017 màu bạc keo xe dán nguyên xe do chuyển sang đi làm bằng xe ôtô nên muốn bán lại xe sh125 cbs ạk xe em đi từ đầu đã về biển 59xb ạk ai cần liên hệ mình,0,0,0,0,0,0,0,50690000.0,4310000.0
70000000.0,65.71 tr,77.13 tr,Honda,SH,52000,Tay ga,100 - 175 cc,Nhật Bản,6,7428.571428571428,cần bán xe sh 150i vn thắng cbs màu đen nhám xe nhà đi kỹ có trầy theo năm tháng xe chính chủ ko phải cửa hàng mua bán hay trung gian mẫu 2019 đăng ký t1 2020 chiếc cuối cùng ở sg xe màu đen nhám máy móc chưa bung xe vừa thay ngớt dây coro bình nước mát xem xe tại quận 7 ko bán cho ac cửa hàng hay mô giới xe chính chủ đăng ký,0,1,0,0,0,0,1,73141862.86063246,-3141862.8606324643
12000000.0,,,Suzuki,Dòng khác,30000,Tay côn/Moto,100 - 175 cc,Nhật Bản,27,1071.428571428571,suzuki gn 125 zin cafe race cavet tranh châ p gn 125 gia 12tr liên hê 159 trâ n văn đang q3,0,0,0,0,0,1,0,12908228.703902952,-908228.7039029524
8000000.0,12.15 tr,14.27 tr,Honda,Vision,84000,Tay ga,100 - 175 cc,Nhật Bản,12,6461.538461538462,lên đời cần thanh lý lại gấp trong 1 ngày giá tốt xe 1 chủ đời đầu mọi chức năng hoạt động bình thường xe êm ga nhạy bạn nào cần liên hệ mình nhé nhanh gọn mua mình tặng thay mới lại 2 bình nhớt mua về chỉ việc chạy thôi cảm ơn ad đã duyệt bài,0,1,0,0,0,0,0,13429551.095193999,-5429551.095193999
8350000.0,7.62 tr,8.94 tr,Honda,Air Blade,36000,Tay ga,100 - 175 cc,Nhật Bản,18,1894.7368421052631,cần bán gấp ab 208 úp thái xe biển số thành phố cavet zin theo xe máy móc êm ru mạnh anh chị mua đi làm đi chợ ok có bớt cho anh chị mua nhanh gọn xem xe tại nhà,0,0,0,0,0,1,0,10952978.71621619,-2602978.71621619
14500000.0,15.88 tr,18.65 tr,Yamaha,Janus,19000,Tay ga,100 - 175 cc,Không rõ,5,3166.6666666666665,do nhu cầu đổi xe mới nên cần thanh lý xe bé đi học nên hơi trầy xước nhẹ máy móc em nguyên rin tiết kiệm xăng lưu ý bán sang tên lun chứ ko muốn uỷ quyền,0,1,0,0,0,0,0,20353161.83640437,-5853161.836404368
4200000.0,4.44 tr,5.22 tr,Honda,@,26000,Tay ga,50 - 100 cc,Không rõ,20,1238.095238095238,xe chim nhật nhà tôi cần bán một xe tream nhật xe đẹp máy cực kỳ êm không giọng không hú bình đề đầy đủ dàn áo liên lạc theo năm tháng xe cứng ngắc mua về đi chợ búa hay chở hàng đều ok hết xe biển số thành phố bao tranh chấp ai có nhu cầu alo tôi xem xe đường huỳnh thị hai phường tân chánh hiệp quận 12,0,0,0,0,0,0,0,9974666.19507751,-5774666.195077511
16300000.0,13.94 tr,16.37 tr,Honda,Future,46000,Xe số,100 - 175 cc,Thái Lan,25,1769.2307692307693,future 2001 chính chủ biển thành phố em bán lại future 2001 biển số hồ chí minh máy thái ạ xe em có thay dàn áo mới của hãng có dọn sơ lại xe em nguyên zin máy rất ngon và chât anh chị mua xe em ký mua bán hoặc ủy quyền đều ok hết ạ,0,1,0,0,0,1,1,18466205.681847107,-2166205.6818471067
9000000.0,34.12 tr,40.05 tr,Piaggio,Vespa,17431,Tay ga,50 - 100 cc,Việt Nam,1,8715.5,còn xài tốt mới mua xe nen cần bán lại xe có cavet giấy tờ tay,0,0,0,0,0,0,0,30531539.682539687,-21531539.682539687
9400000.0,10.02 tr,11.76 tr,Honda,Air Blade,80000,Tay ga,100 - 175 cc,Việt Nam,15,5000.0,cần bán xe ab 2011 giấy tờ đầy đủ máy móc êm cho test thoải mái có thể dẫn thợ đi theo vừa thay bình còn đầy đủ chức năng có fix sdt quốc,0,0,0,0,0,0,0,9974666.19507751,-574666.1950775106
15000000.0,6.74 tr,7.91 tr,Piaggio,Vespa,13000,Tay ga,100 - 175 cc,Việt Nam,15,812.5,lên đờ xe cần bán cần bán e vespa lx125 bản phun xăng điện tử mới đi 13000km xe cực chất cực sang có giấy tờ mua bán đầy đủ,0,0,0,0,0,0,0,8230682.249750778,6769317.750249222
32500000.0,19.03 tr,22.34 tr,Honda,Spacy,8000,Tay ga,100 - 175 cc,Nhật Bản,29,266.6666666666667,bán xe honda spacy 125 đời 1997 bstp 4 số cần bán xe honda spacy 125 đời 1997 bstp 4 số xe đẹp tay ga nhẹ chính chủ giá 32 5tr,0,0,0,0,0,0,1,31403917.616819426,1096082.3831805736
23500000.0,21.1 tr,24.77 tr,Honda,Vision,20000,Tay ga,100 - 175 cc,Việt Nam,7,2500.0,cần bán xe vision 2019 xe chính chủ coi xe trực tiep quận 10 jdjdjjdjdjdjjxjd,0,0,0,0,0,0,1,23571837.40013029,-71837.40013029054
5000000.0,14.53 tr,17.05 tr,Yamaha,Exciter,123456,Tay côn/Moto,100 - 175 cc,Việt Nam,13,8818.285714285714,xe ex zin êm 135 cho ai cần giá này tự hiểu xe zin nguyên cục xem xe ở củ chi ai cần lh,0,0,0,0,0,1,0,14761779.355686994,-9761779.355686994
25000000.0,24.1 tr,28.29 tr,Honda,Air Blade,55000,Tay ga,100 - 175 cc,Không rõ,7,6875.0,honda air blade 2019 đỏ đen xe chính chủ người dùng máy móc zin êm odo chuẩn 55k km liên hệ chủ xe qua sđt,0,0,0,0,0,1,1,24675414.62060891,324585.3793910891
32000000.0,13.86 tr,16.27 tr,Yamaha,Exciter,1000,Tay côn/Moto,100 - 175 cc,Việt Nam,12,76.92307692307692,exciter 135lc malay trắng đen full fi dàn ngoài lên áo lc135 trắng đen trùng màu cavet choá zhipat 2 tầng trợ lực sườn rpm sịn mâm mẫu daytona phuộc rcb e2 heo nissin thái ốc salaya phủ xe cặp vỏ maxxis thay mới dàn máy full fi 65zz touring bền êm đầu sum 20 23 lòng kiếng ycs dên cân dục két nước lớn 2 quạt rdt máy êm mới xe chính chủ của mình sử dụng ko qua cò lái nên ae yên tâm hợp nhãn alo thương lượng,0,0,0,0,0,0,1,17111852.44366237,14888147.556337629
55000000.0,41.71 tr,48.96 tr,Piaggio,Sprint,4000,Tay ga,100 - 175 cc,Việt Nam,8,444.44444444444446,xe trùm mền xe 9 chủ ít đi trùm mền như xe hãng,0,0,0,0,0,0,0,30184962.373449855,24815037.626550145
4800000.0,18.04 tr,21.18 tr,Honda,Dream,300000,Xe số,100 - 175 cc,Hàn Quốc,14,20000.0,xe hàn quốc xe dream hàn quốc tình trạng xe đang sử dụng bình thường bình đề kèn xi nhan đầy đủ ai cần liên hệ về đi làm đi chơi hay chở hàng đều được cám ơn chợ tốt,0,0,0,0,0,0,0,10001816.576529125,-5201816.576529125
31000000.0,27.64 tr,32.44 tr,Honda,Winner X,4400,Tay côn/Moto,100 - 175 cc,Việt Nam,2,1466.6666666666667,dư dùng bán lại winer x siêu lướt ít đi do k có nhu cầu sử dụng nên bán lại chiếc winer x siêu lướt màu đỏ đen xe còn bảo hành chính hãng honda odo chưa được 4k5 do ít đi hàng tuần chạy rô đa chút xe mua mới 100 ra giấy tờ gần 41tr chưa phụ kiện nay pass lại giá iu thương có thể bớt chút đỉnh cho anh chị thiện chí xe chính chủ bán ủy quyền hoặc rút hồ sơ gốc khi mua sẽ phục hồi nguyên trạng pass lại phụ kiện giá cực hấp dẫn nếu anh chị mua kèm xe xe đi ít và còn bảo hành hãng nên các bạn yên tâm nhé có thể nói xe còn như mới liên hệ để xem xe trực tiếp tại nhà hình chụp thật xe cá nhân chính chủ liên hệ trước khi đến để mình sắp xếp về ạ cảm ơn đã đọc tin,0,0,0,0,0,0,1,32599944.095754236,-1599944.095754236
7500000.0,7.17 tr,8.41 tr,Honda,Cub,70,Xe số,Dưới 50 cc,Hàn Quốc,19,3.5,super cub50 xe zin máy mạnh êm mua chạy phố bao êm super cub 50 xe êm còn zin máy mạnh xe đơ i củ nên máy mạnh chạy đươ c 60 hay 70 km luôn mua cho nhà chạy trong phố bao êm,0,0,0,0,0,1,0,11812616.711963981,-4312616.711963981
3700000.0,6.92 tr,8.13 tr,Yamaha,Mio,3200,Tay ga,100 - 175 cc,Nhật Bản,14,213.33333333333331,bán xe mio classico máy êm ru minh cần bán mio classico máy móc êm ru full chức năng cứng cáp đi làm đi chơi ok rất lợi xăng nhé giá nay hiểu giúp em ạ tks,0,0,0,0,0,0,0,5710393.905561759,-2010393.9055617591
21800000.0,13.75 tr,16.14 tr,Honda,Winner,50000,Tay côn/Moto,100 - 175 cc,Nhật Bản,9,5000.0,win v1 60zz winner 150 option cơ bản sạch sẽ leng keng ae ơi xe biển số thành phố chính chủ kí giấy 1p30s biển số 59v2 851 72 máy 60zz êm ái nhẹ nhàng ecu rc mini mâm 8c rcb áo trắng đen tem winner nsd new ốc tán sáng trưng dàn chân sạch sẽ vv xe đang trong tình trạng êm leng keng nha ae có nhận giao lưu tất cả loại xe gắn máy hỗ trợ góp hộ khẩu sài gòn tỉnh bao nợ xấu hổ trợ ae quẹt thẻ tín dụng bao ae quay đầu trải nghiệm giá 21tr800 fix ae mau lẹ xăng cộ đức 891 8 hương lộ 2 q bình tân 891 7 hương lộ 2 q bình tân,0,0,0,0,0,0,1,15526746.81761522,6273253.18238478
55900000.0,25.66 tr,30.12 tr,Honda,Future,19100,Xe số,100 - 175 cc,Việt Nam,16,1123.529411764706,fu x fi 2010 cọp xe nhà mua mới từ đầu 2010 2vo zin gai dầy 2 chìa khóa chưa sài máy mốc nguyên zin từng con ốc nhông sên đĩa chưa thay nói chung là bao zin 100 ko lai bất cứ gì biển sài gòn 4 số mua bán tại nhà công chứng qh h ae đam mê nhấc cái máy alo mình ủy quyền mua bán đều nhanh lẹ ae đam mê thì alo mình còn tào lao né dùm nha còn tin là còn,0,0,0,0,0,1,0,36218095.75359724,19681904.246402763
5000000.0,6.99 tr,8.2 tr,Suzuki,Axelo,80000,Tay côn/Moto,100 - 175 cc,Việt Nam,9,8000.0,em có chiếc axelo cũ bán rẻ em có chiếc xe axelo cũ để lâu quá bị hư bình vs bể mặt đạn bánh sau do em đi làm ko có thời gian sửa chữa nên em bán rẻ anh em được nhắn em qua chợ tốt để xem xe được em bớt ạ xe hư bình nên ko đề được ạ có sao em nói vậy anh em nào được liên hệ xem ạ biển số thành phố ạ có carvet xe đầy đủ ạ,0,0,0,0,0,0,0,17549259.035395198,-12549259.035395198
8000000.0,5.04 tr,5.92 tr,Yamaha,Nouvo,80000,Tay ga,100 - 175 cc,Nhật Bản,14,5333.333333333333,cần bán nouvo 5 rc 2012 chính chủ nhà chật cần ra đi nouvo 5 rc đk2012 xe chạy còn mạnh tốt máy êm đề nổ mua về chỉ việc đổ xăng chạy xe chính chủ bao công chứng uỷ quyền cho ae,0,0,0,0,0,0,1,6658837.197969967,1341162.8020300334
19500000.0,62.56 tr,73.44 tr,Yamaha,YAZ,300000,Tay côn/Moto,100 - 175 cc,Việt Nam,8,33333.333333333336,ex 65zz gtdd cấu hình 65zz tuoring cdn drang thái lan phuộc sau nitron dĩa phay thái heo sau đồ chơi pas heo ngược gần full ốc salaya gác chân malay áo keng mới sơn máy móc bao êm cho ae chơi,0,0,0,0,0,0,0,19011707.429096088,488292.5709039122
12000000.0,15.94 tr,18.72 tr,Yamaha,Exciter,60000,Tay côn/Moto,100 - 175 cc,Việt Nam,15,3750.0,ex 135 mới dọn lại mới xe mua cửa hàng còn giấy tờ mua bán xe em mới dọn lai nhanh lẹ em co bớt ti cf,0,0,0,0,0,0,0,13058924.840940248,-1058924.8409402482
17500000.0,14.49 tr,17.01 tr,Honda,Winner,1,Tay côn/Moto,100 - 175 cc,Nhật Bản,8,0.1111111111111111,winner v1 chính chủ ký bs 85 chính chủ ký áo leng keng chân sạch sẽ bh máy 1 tháng,0,1,0,0,0,0,1,16914317.668572348,585682.3314276524
4900000.0,4.21 tr,4.94 tr,Hãng khác,Dòng khác,99999,Xe số,50 - 100 cc,Đài Loan,19,4999.95,bán xe wave đài loan mình cần bán xe wave nhỏ của sanda máy êm thì thầm đồ zin còn nhiều xe mới làm nồi với chén cổ chạy êm ru như alpha thông tin m n liên hệ,0,0,0,0,0,1,0,5486511.721390001,-586511.7213900005
13800000.0,13.38 tr,15.71 tr,Honda,Winner,4667,Tay côn/Moto,100 - 175 cc,Việt Nam,9,466.7,winner 2017 biển số 59 xe kông 9chủ wimner 2017 biển số 59 xe k09chủ máy móc 57 long ycs dao xe cavet giay uy quyền cũ ae quan tam ib,0,0,0,0,0,0,0,16342610.535907336,-2542610.5359073356
